Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,0.88,B081Q9CFGC,2024-11-24,,4.32,5.61,4.32,22.379603399433442,3,fba,43888,6,432,2.0,1.580000000000001,7,1,4.33,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-11-24,,4.3,5.56,4.3,21.81303116147309,3,fba,43888,6,432,2.0,1.54,7,1,4.33,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-11-25,,4.32,5.61,4.32,22.379603399433442,3,fba,40521,6,432,2.0,1.580000000000001,6,3,1.4433333333333334,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-11-26,,4.29,5.55,4.29,21.529745042492927,3,fba,33894,6,432,2.0,1.5200000000000005,3,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-11-27,,4.3,5.55,4.3,21.81303116147309,3,fba,36377,5,432,2.0,1.54,3,1,4.32,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-11-28,,6.05,5.55,5.55,57.22379603399433,4,fbm,25851,5,432,2.0,4.04,2,2,5.234999999999999,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-12-09,,4.29,5.55,4.29,21.529745042492927,3,fba,17916,5,432,2.0,1.5200000000000005,11,8,4.656666666666666,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-12-10,,4.29,5.55,4.29,21.529745042492927,3,fba,23239,4,432,2.0,1.5200000000000005,3,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-12-11,,4.28,5.55,4.28,21.246458923512762,3,fba,31268,4,432,2.0,1.5000000000000009,3,1,4.28,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-12-11,,4.32,5.55,4.32,22.379603399433442,3,fba,31268,4,432,2.0,1.580000000000001,3,1,4.28,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-12-12,,4.29,5.55,4.29,21.529745042492927,3,fba,41514,4,432,2.0,1.5200000000000005,2,1,4.29,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2024-12-13,,4.3,5.55,4.3,21.81303116147309,3,fba,36837,4,432,2.0,1.54,2,1,4.31,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
