Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-10-26,13.26,13.37,12.69,12.69,15.25885558583106,2,fbm,22812,10,139,0.3333333333333333,0.5599999999999998,15,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-10-27,13.26,13.37,12.69,12.69,15.25885558583106,2,fbm,17942,,,0.3333333333333333,0.5599999999999998,15,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-10-28,13.37,13.37,12.69,12.69,15.25885558583106,2,fbm,17942,10,139,0.3333333333333333,0.5599999999999998,15,1,13.17,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-10-29,13.37,13.2,12.69,12.69,15.25885558583106,2,fbm,17461,6,144,0.3333333333333333,0.5599999999999998,14,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-10-30,13.0,13.2,12.69,12.69,15.25885558583106,2,fbm,19299,6,144,0.3333333333333333,0.5599999999999998,14,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-10-31,13.37,13.2,12.69,12.69,15.25885558583106,2,fbm,33583,10,144,0.3333333333333333,0.5599999999999998,13,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-11-01,13.37,13.2,12.69,12.69,15.25885558583106,2,fbm,33583,10,144,0.3333333333333333,0.5599999999999998,13,1,13.2,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-11-02,13.37,13.2,12.69,12.69,15.25885558583106,2,fbm,20316,10,144,0.3333333333333333,0.5599999999999998,12,1,13.2,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-11-03,13.01,13.2,12.69,12.69,15.25885558583106,2,fbm,23667,10,146,0.3333333333333333,0.5599999999999998,11,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-11-04,12.8,13.2,12.69,12.69,15.25885558583106,2,fbm,23667,10,146,0.3333333333333333,0.5599999999999998,11,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-11-05,13.37,13.2,12.69,12.69,15.25885558583106,2,fbm,19503,6,146,0.3333333333333333,0.5599999999999998,11,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
Pet Supplies,20,4.69,B0CHBQ7M5H,2024-11-06,13.37,13.2,12.69,12.69,15.25885558583106,2,fbm,27583,6,146,0.3333333333333333,0.5599999999999998,11,0,0.0,Pet Head Birthday Sparkle Dog Shampoo | Cotton Candy Scent | Shampoo for Dogs with Sensitive Skin | Dog Birthday Present | Vegan | Gentle Formula for Puppies | 300ml,,4.2,98,2,10,238,N/A,41.17647058823529
