ASIN,Adjusted Actual Sales,Estimated Sales (Theory),Adjusted Sales (Full Logic),Estimated Sales (Category Curve),Accuracy - Theory,Accuracy - Full Logic,Accuracy - Category
B00000IU72,12.0,47.436433208330186,34.12332957290485,48.34031699606562,-1.9530361006941823,-0.8436107977420708,-2.0283597496721346
B0000AN4CV,60.12587412587413,19.74515509265575,13.821608564859025,9.583354191044913,0.3283969735112552,0.22987788145787869,0.15938818903459206
B0001IWI10,26.086092715231793,18.35957236830059,11.775529666628005,19.564229313180466,0.7038069123161688,0.45141025124671963,0.7499869576771387
B0001P0DLU,284.0,191.49940219879758,107.72317645856972,196.07524120978852,0.674293669714076,0.379306959361161,0.690405778907706
B0001P15T4,255.37946428571428,121.59163499838124,83.72494052627248,102.15742741591872,0.47612142714163797,0.32784523516974096,0.400022091445954
B0002TT36Q,32.114558472553696,37.07792487786445,30.034490843032813,80.27220701578977,0.8454480883007428,0.9352297609416431,-0.4995581703043934
B0009JJZ8A,11.0,97.24900093578758,77.77693005647326,115.0881789895041,-6.84081826688978,-5.070630005133933,-8.462561726318555
B000FGECAI,126.56537753222835,209.24725070847995,151.97265124777087,35.64670806156493,0.3467259783964406,0.7992557347757063,0.2816465984347728
B000FPU2SK,32.12632617813965,92.41128946653195,66.42807437456509,72.41625475923477,-0.8764972675093237,-0.06771462152949348,-0.2541094290610295
B000FPYPM4,1.0182370820668694,16.492676883875937,13.19414150710075,13.13420608861068,-14.197285656105024,-10.95782852488402,-10.89896657657586
B000I4OEVO,48.0,28.30455256115592,21.8026516143913,50.31155744538568,0.589678178357415,0.45422190863315215,0.9518425532211316
B000MQ663C,8.015289058767321,17.37481182226966,13.164315021038789,21.29259386276695,-0.16770869957143497,0.3575994671534227,-0.6564973149005258
B000PSB13C,289.0,142.89074494679718,122.74055261954075,154.5732855088199,0.49443164341452317,0.4247077945312828,0.5348556592000688
B000Q351JG,0.0,115.32215007255512,115.32215007255512,37.03277252527852,-inf,-inf,-inf
B0012B4EXK,22.0,22.992890087166554,18.465312211141168,29.601116279196102,0.9548686324015203,0.8393323732336895,0.6544947145819954
B001E1E9AG,384.0,304.9524195426169,214.55504065555797,901.6647698423051,0.7941469258922315,0.5587370850405156,-0.34808533813100273
B001OXH0X2,2.0,60.563383245720985,39.76556645357026,147.14438619337741,-28.281691622860492,-17.88278322678513,-71.57219309668871
B001Q77TI2,151.0,77.03532941951124,69.50066205359222,95.0098471010865,0.5101677445000745,0.46026928512312726,0.6292042854376589
B0024I0DBW,8.242424242424242,16.45374205802807,13.280251279228557,9.308280828082808,0.0037739414892414835,0.3887930433288883,0.87068651718113
B00284EJ3K,3.0,322.0294558857966,296.595453758606,363.27422538521097,-105.34315196193221,-96.86515125286867,-119.09140846173699
B002BWSZS4,20.0,65.67996839440286,51.45777989178574,46.08146869125124,-1.283998419720143,-0.572888994589287,-0.304073434562562
B002DPGTF0,563.1151832460733,3656.3324809200385,3210.766220102427,201.43972633839823,-4.49304545447192,-3.7017930178937615,0.3577238411104464
B002HY4YSQ,44.0,95.25900255976494,83.78385316475422,116.8897257863376,-0.16497733090374855,0.09582151898285862,-0.6565846769622183
B002KFZKZ8,4.414151925078044,2.2209553619803293,1.7767642895842632,1.6979739308661241,0.5031442958187403,0.40251543665499223,0.38466594709154767
B002QGAF8S,258.0,169.5903095393959,135.83093171281894,146.86397289271602,0.6573267811604492,0.5264764795070501,0.5692402050105272
B003DZUDYC,8.0,43.15998118991542,39.225333335725935,45.70430306780005,-3.3949976487394276,-2.903166666965742,-3.713037883475006
B003M36498,24.0,49.279524442544115,42.960181812655584,50.862587942202765,-0.05331351843933807,0.20999242447268396,-0.11927449759178188
B003OPE57C,47.0,15.988641875111018,15.988641875111018,17.74282219793397,0.3401838696832131,0.3401838696832131,0.3775068552751909
B003SYNGE2,17.0,33.873974319353344,31.00879018832549,30.357471719402636,0.007413275332156188,0.17595351833379458,0.2142663694469038
B003VTZAM0,23.339813374805598,12.253156450011703,8.577209515008192,14.865954591716541,0.5249894784179594,0.36749263489257156,0.6369354524386964
B0049A27FS,257.13375796178343,239.50824526417327,162.88543681113651,132.15248658655204,0.9314539139577708,0.6334657810093741,0.5139445230143342
B004GFPFBO,0.0,2.075372613628007,1.6034834803017448,1.9797532119999122,-inf,-inf,-inf
B004I2N5AS,13.0,286.82908364093055,260.4398102282202,89.5849901779744,-20.063775664686965,-18.03383155601694,-4.8911530906134155
B004R1ZS64,0.0,2343.0716082225517,1659.0797843776645,156.87669154923955,-inf,-inf,-inf
B004S0S0S2,15.327433628318586,84.36028591078298,76.17026081352144,35.083064018592786,-3.503875466465632,-2.9695378013440656,-0.2889066016749331
B004TRSSIQ,24.0,49.81829731106435,36.29567119263043,39.710453839981454,-0.07576238796101453,0.48768036697373207,0.34539775666743944
B004ZMXOMA,0.0,27.45573046552377,19.456322257441244,50.07075324198844,-inf,-inf,-inf
B0052VXJGO,0.0,122.50439531076908,98.34276325899106,66.19524599271041,-inf,-inf,-inf
B0054RRCQY,17.0,49.82654326464629,49.82654326464629,39.58134308568301,-0.9309731332144877,-0.9309731332144877,-0.32831429915782406
B005BFZAK4,19.0,8.742285051737955,7.785411221262814,15.801194267928954,0.460120265880945,0.4097584853296218,0.8316418035752081
B005HXLH3O,178.0,66.40504126439909,55.46281095294907,98.74980066364732,0.3730620295752758,0.31158882557836554,0.5547741610317265
B005WH4C2S,11.0,19.115153537089718,17.247896368060214,20.01701378041824,0.2622587693554802,0.43200942108543505,0.18027147450743286
B00605WJ9O,50.0,905.4234150499743,735.3471793879471,93.35103879703576,-16.108468300999487,-12.706943587758943,0.13297922405928486
B006PFN3BW,2169.0,1071.8479764975807,747.4682039256536,2084.3262559022705,0.49416688635204276,0.34461420190209935,0.9609618514994331
B0073FT7FY,651.0,344.9067456352447,268.6847318493291,1093.240069292764,0.5298106691785633,0.41272616259497563,0.32067577681603066
B0073TTHBY,659.2045454545455,1539.109159903097,824.822941434569,474.688216435746,-0.3347975533782541,0.748760233645198,0.7200924503765842
B0074JFW3A,94.4100580270793,284.70182100901445,200.15403022365788,159.527205539773,-1.0155878193333434,-0.12004985916064603,0.3102731968026502
B007R2ICTK,1542.0,393.26642700851903,275.41185292834854,944.7555338932808,0.2550365933907387,0.17860690851384464,0.6126819285948644
B0084CNKAI,41.557268722466965,211.3296344257807,190.61749101792344,14.087764876338836,-3.085262841432365,-2.5868628251517056,0.3389964092785197
B008ID91XI,22.0,14.98560314141097,10.48992219898768,3.1071428571428577,0.681163779155044,0.4768146454085309,0.14123376623376627
B00ANP09LM,39.0,14.868841547966845,13.381957393170161,15.89066540928672,0.38125234738376523,0.34312711264538875,0.4074529592124799
B00AOES9GE,283.2642487046632,498.07830436878976,418.3252239006802,1489.9705669511063,0.2416478371469466,0.5231979474514123,-3.2600021844076004
B00B2KJ59Y,15.0,785.5016486557847,525.1630365151301,37.333766233766234,-50.36677657705231,-33.01086910100867,-0.488917748917749
B00BA4IOTY,1.0,65.2522720351798,52.041605810279734,36.85270469163597,-63.2522720351798,-50.041605810279734,-34.85270469163597
B00BEUFYE2,2.103305785123967,1.3349603251147104,1.0916405433568888,2.1852804399157746,0.6346962645928486,0.5190118103975778,0.9610258026333646
B00BUY54DI,63.0,31.262082357201088,19.368076671346746,25.667412872260073,0.4962235294793823,0.3074297884340753,0.4074192519406361
B00D1V5FPU,389.2307692307693,39867.1670198886,28243.65880079655,2348.8494730337943,-100.42552791670984,-70.56275976489232,-4.034593507794332
B00D1V5NWK,2208.0,44514.36769986236,37011.065380605796,901.6599582638206,-18.160492617691286,-14.762257871651176,0.40836048834412164
B00D2O8936,17.0,643.7891633830161,470.9657728996504,1420.5565126903412,-35.86995078723624,-25.703868994097082,-81.56214780531418
B00DLILCPU,107.0,95.13521049914411,68.65954668391097,163.61508292270227,0.889114116814431,0.6416780063916914,0.47088707548876385
