Category,BSR Band,Actual Sales Volume,Simulated Sales,Adjusted Actual Sales,Estimated Sales (Theory),Estimated Sales (Category Curve),Adjusted Sales (Full Logic),Final Estimated Sales,Daily Profit,ROI %,Offer Count,Review Count,Error - Theory vs Actual,Error - Full Logic vs Actual,Error - Category vs Actual,Accuracy - Theory,Accuracy - Full Logic,Accuracy - Category
Baby Products,"5,001–10,000",0.3611111111111111,0.04444444444444443,0.3611111111111111,4.2021706987553396,0.3611111111111111,3.3672992603886973,0.3611111111111111,0.16074074074074074,6.612966711650923,7.805555555555555,1956.75,4.154645698209346,3.3723805658539616,0.6419753086419753,-inf,-inf,-inf
Baby Products,"10,001–25,000",0.38636363636363635,0.018939393939393936,0.38636363636363635,1.6943595183385682,0.38636363636363635,1.3601465493130132,0.38636363636363635,0.05253787878787879,-1.124899082242033,7.8977272727272725,2408.0227272727275,1.555620550199347,1.2943049816834025,0.597107438016529,-inf,-inf,-inf
Beauty,101–500,0.4409448818897638,9.32755905511811,1.6083197147526371,320.8647992962569,1.6083197147526371,209.6343019039228,1.6083197147526371,6.276937007874015,7.876031500535813,12.396825396825397,12784.333333333334,319.25647958150427,208.02598218917015,2.5430218860437726,-inf,-inf,-inf
Beauty,"501–1,000",0.594059405940594,4.732673267326732,1.5116263984889053,179.10759341912566,1.5116263984889053,113.97098574989005,1.5116263984889053,3.294732673267326,0.6458832277191587,13.128712871287128,12524.10891089109,177.59596702063672,112.45935935140115,2.0978114017267595,-inf,-inf,-inf
Beauty,"1,001–2,500",1.0,2.26875,15.637028301886794,172.49031129404122,15.637028301886794,124.60628026646528,15.637028301886794,2.1664375,2.9276509808166615,11.666666666666666,9823.866666666667,156.85328299215442,108.96925196457849,24.410170990566037,-inf,-inf,-inf
Beauty,"2,501–5,000",1.3076923076923077,1.1948717948717948,32.04307974335472,242.41445592857056,32.04307974335472,193.0364436971108,32.04307974335472,0.9526538461538464,15.808391119017584,13.115384615384615,975.9615384615385,211.4748871408596,164.5496769331132,42.903193964605514,-inf,-inf,-inf
Beauty,"5,001–10,000",0.49019607843137253,1.300653594771242,1.2529665720925995,5.57994550686347,1.2529665720925995,4.451096978309247,1.2529665720925995,3.625326797385622,72.6115032857174,7.68,937.26,5.1369995449439685,4.41804339098185,1.7197580401270975,-inf,-inf,-inf
Beauty,"10,001–25,000",0.21138211382113822,1.473441734417344,0.7293820503440291,5.30930288156287,0.7293820503440291,4.146190657255688,0.7293820503440291,4.5739945799458,130.65477462494798,9.727272727272727,729.0252100840336,4.937957503949766,3.8766682762816234,1.2571462981539365,-inf,-inf,-inf
Beauty,"25,001–50,000",0.5046728971962616,0.6822429906542056,0.5406274182987083,1.0625372787281004,0.5406274182987083,0.8964772343138121,0.5406274182987083,1.2853333333333332,26.843568115347047,6.03921568627451,1704.6568627450981,1.1962540387267804,1.0732738688252617,0.7477837187683068,-inf,-inf,-inf
Beauty,"50,000+",0.5051546391752577,0.9890034364261169,0.5051546391752577,1.1220602167154088,0.5051546391752577,0.8399896169650848,0.5051546391752577,1.8425257731958766,37.2548982553072,7.094736842105263,1517.6631578947367,1.3804564087225606,1.1226978239515462,0.6770113720905516,-inf,-inf,-inf
Computers & Accessories,"501–1,000",1.5714285714285714,4.714285714285714,3.3569422150882824,43.534254957600204,3.3569422150882824,30.47397847032014,3.3569422150882824,3.582857142857146,1.3743708865660154,11.571428571428571,3731.8571428571427,40.17731274251192,27.11703625523186,4.185278605824353,-inf,-inf,-inf
Computers & Accessories,"1,001–2,500",0.9285714285714286,4.714285714285714,1.983647672552167,17.075380350293916,1.983647672552167,12.016156522767393,1.983647672552167,4.095535714285715,-0.9001161440185808,13.941176470588236,3710.627450980392,15.29617797621439,10.536248667794775,2.9046269490942445,-inf,-inf,-inf
Computers & Accessories,"2,501–5,000",1.0056818181818181,3.877840909090909,2.129006001021451,9.259374942778893,2.129006001021451,6.841812543192439,2.129006001021451,2.3539678030303026,-1.418144863266813,11.4375,3688.1477272727275,7.614494969435975,5.652851230651151,2.602973342174297,-inf,-inf,-inf
Computers & Accessories,"5,001–10,000",0.2079207920792079,1.204950495049505,0.3790920254514648,4.353614641563765,0.3790920254514648,3.4197476915218976,0.3790920254514648,0.5348514851485152,-2.923038147651262,8.47,2475.97,3.9745226161123006,3.0411314123925286,0.6305689136222384,-inf,-inf,-inf
Computers & Accessories,"10,001–25,000",0.19889502762430938,0.3482504604051565,0.25320056787077,2.2502897174102605,0.25320056787077,1.9192514742138973,0.25320056787077,1.053313075506446,14.300920956286593,6.469613259668508,1684.414364640884,2.145005043060835,1.8293623483698345,0.43925402382000983,-inf,-inf,-inf
Computers & Accessories,"25,001–50,000",0.18439716312056736,0.44105594956658783,0.37340030119723894,2.12126569018928,0.37340030119723894,1.7689036836703478,0.37340030119723894,1.1956918833727346,17.149752849930778,5.631205673758865,1109.3026004728133,2.1600121438513993,1.821491642018558,0.647933383164949,-inf,-inf,-inf
Computers & Accessories,"50,000+",0.053691275167785234,0.36845637583892615,0.1236573064755469,1.6946278004167552,0.1236573064755469,1.3585259547878408,0.1236573064755469,1.0304295302013424,13.486928511221175,5.856502242152466,801.3977528089888,1.7295917252272095,1.398700796684963,0.23458925255316282,-inf,-inf,-inf
DIY & Tools,101–500,0.0,2.0,0.0,451.6550430129408,0.0,316.1585301090585,0.0,1.8400000000000036,4.747162022703828,11.0,5394.0,451.6550430129408,316.1585301090585,0.0,-inf,-inf,
