BSR Band,Actual Sales Volume,Simulated Sales,Adjusted Actual Sales,Estimated Sales (Theory),Estimated Sales (Category Curve),Adjusted Sales (Full Logic),Final Estimated Sales,Daily Profit,ROI %,Offer Count,Review Count,Error - Theory vs Actual,Error - Full Logic vs Actual,Error - Category vs Actual,Accuracy - Theory,Accuracy - Full Logic,Accuracy - Category
0–100,4.490066225165563,0.025386313465783638,108.10810141972553,18598.97518728069,108.10810141972553,13320.121653937224,108.10810141972553,0.0067041942604855985,2.90382649846687,11.724832214765101,28815.845637583894,18490.867085860962,13212.0135525175,118.92757051607931,-inf,-inf,-inf
101–500,0.4626865671641791,9.02686567164179,1.5690791326386935,309.32294501878425,1.5690791326386935,202.52199205231992,1.5690791326386935,9.144149253731342,19.65120036766552,12.18796992481203,12157.939849624061,307.75386588614555,200.95291291968124,2.410177459160889,-inf,-inf,-inf
"501–1,000",9.968911917098445,6.9645941278065635,14.159796444095509,145.24563415771132,14.159796444095509,101.6953723697197,14.159796444095509,6.904086355785836,28.54605315787204,12.844559585492227,8444.119170984455,143.93428576357337,104.32638361801573,12.144373001048907,-inf,-inf,-inf
"1,001–2,500",3.819068255687974,4.735030697002528,21.990359860306445,113.6747316497229,21.28181365411605,96.35662747126787,21.28181365411605,12.222799927771758,40.070188181184,10.931111111111111,4049.1995515695066,110.28505948572065,96.85236534947079,29.23189858612146,-inf,-inf,-inf
"2,501–5,000",2.4470308788598576,5.541631037212985,8.831328087211705,67.26049049374855,8.831328087211705,55.5630404450029,8.831328087211705,7.920224861441014,12.446891222720016,10.088814210273643,2437.80625,63.08690207392372,52.61338319379213,12.311678390165294,-inf,-inf,-inf
"5,001–10,000",1.305278700627538,3.168143226282761,2.7405378397649915,29.44738645058096,2.7405378397649915,23.969398671610524,2.7405378397649915,4.369677863910423,27.31833016033608,10.365571321882001,2099.089251804026,28.811810674455657,23.832921272649653,3.819887718956562,-inf,-inf,-inf
"10,001–25,000",0.9037315080591742,2.0144917936262603,1.4292235913546036,5.323967008811129,1.4292235913546036,4.17535680783971,1.4292235913546036,4.351082652535512,31.570477423602007,10.1578125,1817.4225668689594,5.276884564988006,4.397037539308408,1.9141701695464197,-inf,-inf,-inf
"25,001–50,000",0.5363472900077061,0.8554242657761795,0.7028138021401997,1.2433563557209388,0.7028138021401997,0.9958591840158852,0.7028138021401997,1.6703559380083912,19.884588430215747,9.221614583333333,1504.9818707304257,1.4124898595071427,1.2680501547127203,0.9726301182487034,-inf,-inf,-inf
"50,000+",0.22462488967343336,0.36110620770814944,0.34153438503194417,0.6260593095355587,0.34153438503194417,0.4994104896310833,0.34153438503194417,0.9487454398352456,32.21660889041413,9.05625,1476.2423835125448,0.8125216354618149,0.7140645109675572,0.5641509522322006,-inf,-inf,-inf
